Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/10/10 09:26:29	Plate Move - Imager to Stage	10890		96 Well MRC, 2 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 09:25:47	Plate Move - Storage to Stage	10888		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 09:19:39	Plate Inspection (Scheduled)	10890	104882	96 Well MRC, 2 Drop	Ultraviolet	UV 100ms	DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	6.6 minutes
2019/10/10 09:14:32	Plate Inspection (Scheduled)	10890	104882	96 Well MRC, 2 Drop	Visible		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	5.1 minutes
2019/10/10 09:14:00	Plate Move - Imager to Stage	10727		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p39-1-MPD Suite-18-Sep-19-4C-[4]	fayal	Minor	0 minute
2019/10/10 09:13:01	Plate Move - Storage to Stage	10890		96 Well MRC, 2 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 09:05:35	Plate Inspection (Scheduled)	10727	104880	96 Well Greiner Hanging, 1 Drop	Visible		Fayal	p39-1-MPD Suite-18-Sep-19-4C-[4]	fayal	Minor	8.2 minutes
2019/10/10 09:05:03	Plate Move - Storage to Stage	10727		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fayal	p39-1-MPD Suite-18-Sep-19-4C-[4]	fayal	Minor	0 minute
2019/10/10 07:04:58	Plate Move - Imager to Stage	10858		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MG24C	cbillesboelle	Manglik	0 minute
2019/10/10 06:55:35	Plate Inspection (Scheduled)	10858	104878	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MG24C	cbillesboelle	Manglik	9.1 minutes
2019/10/10 06:55:02	Plate Move - Imager to Stage	10857		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MGor_4C	cbillesboelle	Manglik	0 minute
2019/10/10 06:54:17	Plate Move - Storage to Stage	10858		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MG24C	cbillesboelle	Manglik	0 minute
2019/10/10 06:44:04	Plate Inspection (Scheduled)	10857	104877	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191006_DIS41d55miniC45D8.1_MGor_4C	cbillesboelle	Manglik	10.8 minutes
